Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
England,India,England,4 wickets,Manchester,"May 26-27, 1996",India,Bowling,England (United Kingdom)
Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),"Aug 26, 1996",Australia,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),"Aug 28, 1996",India,Batting,Sri Lanka
England,Pakistan,England,5 wickets,Manchester,"Aug 29, 1996",Pakistan,Bowling,England (United Kingdom)
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 30, 1996",Australia,Batting,Sri Lanka
England,Pakistan,England,107 runs,Birmingham,"Aug 31, 1996",England,Balanced,England (United Kingdom)
India,Zimbabwe,India,7 wickets,Colombo (SSC),"Sep 1, 1996",Zimbabwe,Balanced,Sri Lanka
England,Pakistan,Pakistan,2 wickets,Nottingham,"Sep 1, 1996",England,Balanced,England (United Kingdom)
Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Sep 3, 1996",Zimbabwe,Balanced,Sri Lanka
Australia,India,Australia,3 wickets,Colombo (SSC),"Sep 6, 1996",India,Balanced,Sri Lanka
Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),"Sep 7, 1996",Sri Lanka,Batting,Sri Lanka
India,Pakistan,India,8 wickets,Toronto,"Sep 16, 1996",Pakistan,Balanced,Canada
India,Pakistan,Pakistan,2 wickets,Toronto,"Sep 17, 1996",India,Balanced,Canada
India,Pakistan,India,55 runs,Toronto,"Sep 18, 1996",India,Balanced,Canada
India,Pakistan,Pakistan,97 runs,Toronto,"Sep 21, 1996",Pakistan,Balanced,Canada
India,Pakistan,Pakistan,52 runs,Toronto,"Sep 23, 1996",Pakistan,Balanced,Canada
Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),"Sep 28, 1996",Kenya,Balanced,Kenya
Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),"Sep 29, 1996",South Africa,Balanced,Kenya
South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),"Oct 1, 1996",South Africa,Balanced,Kenya
Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga),"Oct 2, 1996",Kenya,Balanced,Kenya
Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),"Oct 3, 1996",South Africa,Balanced,Kenya
Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),"Oct 4, 1996",Pakistan,Balanced,Kenya
Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),"Oct 6, 1996",Pakistan,Balanced,Kenya
India,South Africa,South Africa,47 runs,Hyderabad (Deccan),"Oct 17, 1996",South Africa,Balanced,India
Australia,South Africa,South Africa,7 wickets,Indore,"Oct 19, 1996",Australia,Balanced,India
India,Australia,India,2 wickets,Bengaluru,"Oct 21, 1996",Australia,Balanced,India
India,South Africa,South Africa,27 runs,Jaipur,"Oct 23, 1996",South Africa,Balanced,India
Australia,South Africa,South Africa,2 wickets,Faridabad,"Oct 25, 1996",Australia,Balanced,India
India,South Africa,South Africa,5 wickets,Rajkot,"Oct 29, 1996",India,Balanced,India
Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,"Oct 30, 1996",Zimbabwe,Balanced,Pakistan
Australia,South Africa,South Africa,8 wickets,Guwahati,"Nov 1, 1996",Australia,Bowling,India
Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,"Nov 1, 1996",Zimbabwe,Balanced,Pakistan
Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,"Nov 3, 1996",Pakistan,Balanced,Pakistan
India,Australia,India,5 runs,Mohali,"Nov 3, 1996",India,Batting,India
India,South Africa,India,35 runs,Wankhede,"Nov 6, 1996",India,Balanced,India
New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,"Nov 7, 1996",New Zealand,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,"Nov 8, 1996",Sri Lanka,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 10, 1996",New Zealand,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,0,-,Sharjah,"Nov 11, 1996",Sri Lanka,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,"Nov 12, 1996",Sri Lanka,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 13, 1996",New Zealand,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,41 runs,Sharjah,"Nov 15, 1996",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,"Dec 4, 1996",Pakistan,Balanced,Pakistan
Australia,West Indies,Australia,5 wickets,Melbourne,"Dec 6, 1996",West Indies,Balanced,Australia
Pakistan,New Zealand,Pakistan,46 runs,Sialkot,"Dec 6, 1996",Pakistan,Balanced,Pakistan
Australia,West Indies,Australia,8 wickets,Sydney,"Dec 8, 1996",West Indies,Balanced,Australia
Pakistan,New Zealand,New Zealand,7 wickets,Karachi,"Dec 8, 1996",Pakistan,Batting,Pakistan
India,South Africa,India,74 runs,Wankhede,"Dec 14, 1996",India,Balanced,India
Australia,Pakistan,Pakistan,12 runs,Adelaide,"Dec 15, 1996",Pakistan,Balanced,Australia
Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,"Dec 15, 1996",England,Batting,Zimbabwe
Pakistan,West Indies,West Indies,7 wickets,Adelaide,"Dec 17, 1996",Pakistan,Balanced,Australia
Australia,Pakistan,Pakistan,4 wickets,Sydney,"Jan 1, 1997",Australia,Balanced,Australia
Zimbabwe,England,Zimbabwe,7 runs,Harare,"Jan 1, 1997",Zimbabwe,Balanced,Zimbabwe
Pakistan,West Indies,West Indies,6 wickets,Brisbane,"Jan 3, 1997",Pakistan,Batting,Australia
Zimbabwe,England,Zimbabwe,131 runs,Harare,"Jan 3, 1997",Zimbabwe,Balanced,Zimbabwe
Australia,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1997",Australia,Batting,Australia
Australia,Pakistan,Pakistan,29 runs,Hobart,"Jan 7, 1997",Pakistan,Balanced,Australia
Pakistan,West Indies,West Indies,5 wickets,Perth,"Jan 10, 1997",Pakistan,Balanced,Australia
Australia,West Indies,West Indies,4 wickets,Perth,"Jan 12, 1997",Australia,Balanced,Australia
Pakistan,West Indies,Pakistan,8 wickets,Sydney,"Jan 14, 1997",West Indies,Balanced,Australia
Australia,Pakistan,Australia,3 wickets,Melbourne,"Jan 16, 1997",Pakistan,Balanced,Australia
Pakistan,West Indies,Pakistan,4 wickets,Sydney,"Jan 18, 1997",West Indies,Balanced,Australia
Pakistan,West Indies,Pakistan,62 runs,Melbourne,"Jan 20, 1997",Pakistan,Balanced,Australia
South Africa,India,South Africa,39 runs,Bloemfontein,"Jan 23, 1997",South Africa,Batting,South Africa
South Africa,Zimbabwe,South Africa,5 wickets,Centurion,"Jan 25, 1997",Zimbabwe,Batting,South Africa
India,Zimbabwe,0,-,Paarl,"Jan 27, 1997",Zimbabwe,Balanced,South Africa
South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,"Jan 29, 1997",Zimbabwe,Bowling,South Africa
South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,"Jan 31, 1997",Zimbabwe,Batting,South Africa
South Africa,India,South Africa,6 wickets,Gqeberha,"Feb 2, 1997",India,Balanced,South Africa
South Africa,India,South Africa,6 wickets,East London,"Feb 4, 1997",India,Balanced,South Africa
India,Zimbabwe,Zimbabwe,3 wickets,Centurion,"Feb 7, 1997",India,Batting,South Africa
India,Zimbabwe,India,6 wickets,Benoni,"Feb 9, 1997",Zimbabwe,Balanced,South Africa
South Africa,India,0,-,Durban,"Feb 12, 1997",India,Batting,South Africa
South Africa,India,South Africa,17 runs,Durban,"Feb 13, 1997",South Africa,Batting,South Africa
Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,"Feb 15, 1997",India,Batting,Zimbabwe
New Zealand,England,England,4 wickets,Christchurch,"Feb 20, 1997",New Zealand,Balanced,New Zealand
New Zealand,England,England,6 wickets,Auckland,"Feb 23, 1997",New Zealand,Batting,New Zealand
New Zealand,England,0,-,Napier,"Feb 26, 1997",England,Balanced,New Zealand
New Zealand,England,New Zealand,9 runs,Auckland,"Mar 2, 1997",New Zealand,Batting,New Zealand
New Zealand,England,New Zealand,28 runs,Wellington,"Mar 4, 1997",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch,"Mar 25, 1997",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,"Mar 27, 1997",New Zealand,Balanced,New Zealand
South Africa,Australia,South Africa,6 wickets,East London,"Mar 29, 1997",Australia,Balanced,South Africa
South Africa,Australia,Australia,7 wickets,Gqeberha,"Mar 31, 1997",South Africa,Balanced,South Africa
South Africa,Australia,South Africa,46 runs,Cape Town,"Apr 2, 1997",South Africa,Bowling,South Africa
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Apr 3, 1997",Zimbabwe,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah,"Apr 4, 1997",Sri Lanka,Batting,United Arab Emirates (UAE)
South Africa,Australia,Australia,15 runs,Durban,"Apr 5, 1997",Australia,Batting,South Africa
Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah,"Apr 6, 1997",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah,"Apr 7, 1997",Sri Lanka,Batting,United Arab Emirates (UAE)
Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah,"Apr 8, 1997",Zimbabwe,Batting,United Arab Emirates (UAE)
South Africa,Australia,Australia,8 runs,Johannesburg,"Apr 8, 1997",Australia,Batting,South Africa
Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah,"Apr 9, 1997",Pakistan,Batting,United Arab Emirates (UAE)
South Africa,Australia,Australia,5 wickets,Centurion,"Apr 10, 1997",South Africa,Batting,South Africa
Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,"Apr 11, 1997",Pakistan,Batting,United Arab Emirates (UAE)
South Africa,Australia,South Africa,109 runs,Bloemfontein,"Apr 13, 1997",South Africa,Batting,South Africa
West Indies,India,West Indies,8 wickets,Port of Spain,"Apr 26, 1997",India,Batting,Trinidad and Tobago
West Indies,India,India,10 wickets,Port of Spain,"Apr 27, 1997",West Indies,Batting,Trinidad and Tobago
West Indies,India,West Indies,18 runs,Kingstown,"Apr 30, 1997",West Indies,Balanced,Saint Vincent and the Grenadines
West Indies,India,West Indies,10 wickets,Bridgetown,"May 3, 1997",India,Balanced,Barbados
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"May 9, 1997",New Zealand,Batting,India
Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior,"May 12, 1997",Pakistan,Balanced,India
India,New Zealand,India,8 wickets,Bengaluru,"May 14, 1997",New Zealand,Balanced,India
India,Sri Lanka,Sri Lanka,5 wickets,Wankhede,"May 17, 1997",India,Balanced,India
New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad (Deccan),"May 20, 1997",Sri Lanka,Balanced,India
India,Pakistan,Pakistan,35 runs,Chennai,"May 21, 1997",Pakistan,Bowling,India
England,Australia,England,6 wickets,Leeds,"May 22, 1997",Australia,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali,"May 24, 1997",Sri Lanka,Batting,India
England,Australia,England,6 wickets,The Oval,"May 24, 1997",Australia,Balanced,England (United Kingdom)
England,Australia,England,6 wickets,Lord's,"May 25, 1997",Australia,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Sri Lanka,85 runs,Eden Gardens,"May 27, 1997",Sri Lanka,Balanced,India
West Indies,Sri Lanka,West Indies,35 runs,Port of Spain,"Jun 6, 1997",West Indies,Batting,Trinidad and Tobago
Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS),"Jul 14, 1997",Sri Lanka,Batting,Sri Lanka
Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),"Jul 16, 1997",Pakistan,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,6 wickets,Colombo (RPS),"Jul 18, 1997",India,Batting,Sri Lanka
India,Pakistan,0,-,Colombo (SSC),"Jul 20, 1997",Pakistan,Balanced,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),"Jul 22, 1997",Sri Lanka,Balanced,Sri Lanka
Bangladesh,India,India,9 wickets,Colombo (SSC),"Jul 24, 1997",Bangladesh,Balanced,Sri Lanka
Sri Lanka,India,Sri Lanka,8 wickets,Colombo (RPS),"Jul 26, 1997",India,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,2 runs,Colombo (RPS),"Aug 17, 1997",Sri Lanka,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Aug 20, 1997",India,Batting,Sri Lanka
Sri Lanka,India,0,-,Colombo (SSC),"Aug 23, 1997",India,Balanced,Sri Lanka
Sri Lanka,India,Sri Lanka,9 runs,Colombo (SSC),"Aug 24, 1997",Sri Lanka,Balanced,Sri Lanka
India,Pakistan,India,20 runs,Toronto,"Sep 13, 1997",India,Balanced,Canada
India,Pakistan,India,7 wickets,Toronto,"Sep 14, 1997",Pakistan,Balanced,Canada
India,Pakistan,0,-,Toronto,"Sep 17, 1997",Pakistan,Balanced,Canada
India,Pakistan,India,34 runs,Toronto,"Sep 18, 1997",India,Balanced,Canada
India,Pakistan,India,7 wickets,Toronto,"Sep 20, 1997",Pakistan,Balanced,Canada
India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 21, 1997",India,Balanced,Canada
Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),"Sep 28, 1997",India,Balanced,Pakistan
Pakistan,India,India,4 wickets,Karachi,"Sep 30, 1997",Pakistan,Batting,Pakistan
Zimbabwe,New Zealand,0,-,Bulawayo,"Oct 1, 1997",New Zealand,Batting,Zimbabwe
Pakistan,India,Pakistan,9 wickets,Lahore,"Oct 2, 1997",India,Balanced,Pakistan
Zimbabwe,New Zealand,Zimbabwe,3 wickets,Harare,"Oct 4, 1997",New Zealand,Balanced,Zimbabwe
Zimbabwe,New Zealand,New Zealand,83 runs,Harare,"Oct 5, 1997",New Zealand,Balanced,Zimbabwe
Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),"Oct 10, 1997",Kenya,Balanced,Kenya
Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),"Oct 11, 1997",Zimbabwe,Balanced,Kenya
Kenya,Zimbabwe,Zimbabwe,6 wickets,Nairobi (Gym),"Oct 12, 1997",Kenya,Balanced,Kenya
Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),"Oct 14, 1997",Zimbabwe,Balanced,Kenya
Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),"Oct 15, 1997",Bangladesh,Balanced,Kenya
Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Aga),"Oct 16, 1997",Kenya,Balanced,Kenya
Kenya,Zimbabwe,Zimbabwe,83 runs,Nairobi (Gym),"Oct 18, 1997",Zimbabwe,Balanced,Kenya
Kenya,Zimbabwe,Zimbabwe,82 runs,Nairobi (Gym),"Oct 19, 1997",Zimbabwe,Balanced,Kenya
Sri Lanka,West Indies,Sri Lanka,7 wickets,Lahore,"Nov 1, 1997",West Indies,Balanced,Pakistan
Pakistan,South Africa,South Africa,9 runs,Lahore,"Nov 2, 1997",South Africa,Balanced,Pakistan
South Africa,West Indies,South Africa,5 wickets,Lahore,"Nov 3, 1997",West Indies,Balanced,Pakistan
Pakistan,West Indies,Pakistan,8 wickets,Lahore,"Nov 4, 1997",West Indies,Balanced,Pakistan
Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,"Nov 5, 1997",Pakistan,Balanced,Pakistan
South Africa,Sri Lanka,South Africa,66 runs,Lahore,"Nov 6, 1997",South Africa,Balanced,Pakistan
South Africa,Sri Lanka,South Africa,4 wickets,Lahore,"Nov 8, 1997",Sri Lanka,Balanced,Pakistan
Australia,South Africa,South Africa,67 runs,Sydney,"Dec 4, 1997",South Africa,Balanced,Australia
New Zealand,South Africa,New Zealand,47 runs,Adelaide,"Dec 6, 1997",New Zealand,Balanced,Australia
Australia,New Zealand,Australia,3 wickets,Adelaide,"Dec 7, 1997",New Zealand,Balanced,Australia
Australia,South Africa,South Africa,45 runs,Melbourne,"Dec 9, 1997",South Africa,Balanced,Australia
New Zealand,South Africa,South Africa,1 run,Hobart,"Dec 11, 1997",New Zealand,Balanced,Australia
England,India,England,7 runs,Sharjah,"Dec 11, 1997",England,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,West Indies,43 runs,Sharjah,"Dec 12, 1997",West Indies,Batting,United Arab Emirates (UAE)
England,West Indies,England,4 wickets,Sharjah,"Dec 13, 1997",West Indies,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,4 wickets,Sharjah,"Dec 14, 1997",India,Batting,United Arab Emirates (UAE)
England,Pakistan,England,8 runs,Sharjah,"Dec 15, 1997",England,Batting,United Arab Emirates (UAE)
India,West Indies,West Indies,41 runs,Sharjah,"Dec 16, 1997",West Indies,Batting,United Arab Emirates (UAE)
Australia,New Zealand,Australia,6 wickets,Melbourne,"Dec 17, 1997",New Zealand,Balanced,Australia
England,West Indies,England,3 wickets,Sharjah,"Dec 19, 1997",West Indies,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,7 wickets,Guwahati,"Dec 22, 1997",Sri Lanka,Bowling,India
India,Sri Lanka,0,-,Indore,"Dec 25, 1997",Sri Lanka,Balanced,India
India,Sri Lanka,Sri Lanka,5 wickets,Margao,"Dec 28, 1997",India,Balanced,India
New Zealand,South Africa,South Africa,2 runs,Brisbane,"Jan 9, 1998",South Africa,Batting,Australia
Bangladesh,India,India,4 wickets,Dhaka,"Jan 10, 1998",Bangladesh,Balanced,Bangladesh
India,Pakistan,India,18 runs,Dhaka,"Jan 11, 1998",India,Balanced,Bangladesh
Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 11, 1998",Australia,Batting,Australia
Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,"Jan 12, 1998",Bangladesh,Balanced,Bangladesh
India,Pakistan,India,8 wickets,Dhaka,"Jan 14, 1998",Pakistan,Balanced,Bangladesh
Australia,New Zealand,Australia,131 runs,Sydney,"Jan 14, 1998",Australia,Balanced,Australia
India,Pakistan,Pakistan,6 wickets,Dhaka,"Jan 16, 1998",India,Balanced,Bangladesh
New Zealand,South Africa,South Africa,67 runs,Perth,"Jan 16, 1998",South Africa,Balanced,Australia
India,Pakistan,India,3 wickets,Dhaka,"Jan 18, 1998",Pakistan,Balanced,Bangladesh
Australia,South Africa,South Africa,7 wickets,Perth,"Jan 18, 1998",Australia,Balanced,Australia
Australia,New Zealand,New Zealand,4 wickets,Melbourne,"Jan 21, 1998",Australia,Balanced,Australia
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),"Jan 22, 1998",Zimbabwe,Balanced,Sri Lanka
Australia,South Africa,South Africa,6 runs,Melbourne,"Jan 23, 1998",South Africa,Balanced,Australia
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (RPS),"Jan 24, 1998",Zimbabwe,Batting,Sri Lanka
Australia,South Africa,Australia,7 wickets,Sydney,"Jan 26, 1998",South Africa,Balanced,Australia
Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),"Jan 26, 1998",Zimbabwe,Balanced,Sri Lanka
Australia,South Africa,Australia,14 runs,Sydney,"Jan 27, 1998",Australia,Balanced,Australia
New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,"Feb 4, 1998",New Zealand,Balanced,New Zealand
New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Feb 6, 1998",Zimbabwe,Balanced,New Zealand
New Zealand,Australia,Australia,7 wickets,Christchurch,"Feb 8, 1998",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,66 runs,Wellington,"Feb 10, 1998",Australia,Balanced,New Zealand
New Zealand,Australia,New Zealand,7 wickets,Napier,"Feb 12, 1998",Australia,Balanced,New Zealand
New Zealand,Australia,New Zealand,30 runs,Auckland,"Feb 14, 1998",New Zealand,Batting,New Zealand
New Zealand,Zimbabwe,Zimbabwe,1 run,Christchurch,"Mar 4, 1998",New Zealand,Balanced,New Zealand
New Zealand,Zimbabwe,New Zealand,9 wickets,Napier,"Mar 6, 1998",Zimbabwe,Balanced,New Zealand
New Zealand,Zimbabwe,New Zealand,2 runs,Auckland,"Mar 8, 1998",New Zealand,Batting,New Zealand
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Mar 28, 1998",Zimbabwe,Balanced,Zimbabwe
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Mar 29, 1998",Zimbabwe,Balanced,Zimbabwe
West Indies,England,England,16 runs,Bridgetown,"Mar 29, 1998",England,Balanced,Barbados
India,Australia,India,41 runs,Kochi,"Apr 1, 1998",India,Balanced,India
West Indies,England,West Indies,1 wicket,Bridgetown,"Apr 1, 1998",England,Balanced,Barbados
Australia,Zimbabwe,Australia,13 runs,Ahmedabad,"Apr 3, 1998",Australia,Balanced,India
South Africa,Pakistan,South Africa,52 runs,Durban,"Apr 3, 1998",South Africa,Batting,South Africa
West Indies,England,West Indies,5 wickets,Kingstown,"Apr 4, 1998",England,Balanced,Saint Vincent and the Grenadines
India,Zimbabwe,India,13 runs,Vadodara,"Apr 5, 1998",India,Balanced,India
South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,"Apr 5, 1998",South Africa,Batting,South Africa
West Indies,England,West Indies,4 wickets,Kingstown,"Apr 5, 1998",England,Balanced,Saint Vincent and the Grenadines
India,Australia,India,6 wickets,Kanpur,"Apr 7, 1998",Australia,Balanced,India
Pakistan,Sri Lanka,Pakistan,4 wickets,Kimberley,"Apr 7, 1998",Sri Lanka,Batting,South Africa
West Indies,England,West Indies,57 runs,Port of Spain,"Apr 8, 1998",West Indies,Batting,Trinidad and Tobago
India,Zimbabwe,India,32 runs,Cuttack,"Apr 9, 1998",India,Balanced,India
Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,"Apr 9, 1998",Pakistan,Balanced,South Africa
Australia,Zimbabwe,Australia,16 runs,Delhi,"Apr 11, 1998",Australia,Batting,India
South Africa,Pakistan,South Africa,3 wickets,East London,"Apr 11, 1998",Pakistan,Balanced,South Africa
South Africa,Sri Lanka,Sri Lanka,6 wickets,Gqeberha,"Apr 13, 1998",South Africa,Balanced,South Africa
India,Australia,Australia,4 wickets,Delhi,"Apr 14, 1998",India,Batting,India
Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,"Apr 15, 1998",Sri Lanka,Balanced,South Africa
South Africa,Pakistan,South Africa,7 wickets,Centurion,"Apr 17, 1998",Pakistan,Batting,South Africa
India,New Zealand,India,15 runs,Sharjah,"Apr 17, 1998",India,Batting,United Arab Emirates (UAE)
Australia,New Zealand,Australia,6 wickets,Sharjah,"Apr 18, 1998",New Zealand,Batting,United Arab Emirates (UAE)
South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Apr 19, 1998",Sri Lanka,Batting,South Africa
Australia,India,Australia,58 runs,Sharjah,"Apr 19, 1998",Australia,Batting,United Arab Emirates (UAE)
