Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Denmark,Sweden,Sweden,3 wickets,Brondby,"Aug 14, 2021",T20I # 1224,Denmark,Balanced,Denmark
Denmark,Sweden,Denmark,6 wickets,Brondby,"Aug 15, 2021",T20I # 1225,Sweden,Balanced,Denmark
Rwanda,Ghana,Rwanda,1 wickets,Rwanda,"Aug 18, 2021",T20I # 1226,Ghana,Balanced,Rwanda
Rwanda,Ghana,Ghana,2 wickets,Rwanda,"Aug 18, 2021",T20I # 1227,Rwanda,Balanced,Rwanda
Portugal,Malta,Portugal,6 wickets,Albergaria,"Aug 19, 2021",T20I # 1228,Malta,Balanced,Portugal
Rwanda,Ghana,Rwanda,57 runs,Rwanda,"Aug 20, 2021",T20I # 1229,Rwanda,Balanced,Rwanda
Gibraltar,Malta,Malta,8 wickets,Albergaria,"Aug 20, 2021",T20I # 1230,Gibraltar,Balanced,Portugal
Rwanda,Ghana,Ghana,-,Rwanda,"Aug 20, 2021",T20I # 1231,Rwanda,Balanced,Rwanda
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1232,Sweden,Balanced,Finland
Portugal,Gibraltar,Portugal,96 runs,Albergaria,"Aug 21, 2021",T20I # 1233,Portugal,Balanced,Portugal
Rwanda,Ghana,Ghana,7 wickets,Rwanda,"Aug 21, 2021",T20I # 1234,Rwanda,Balanced,Rwanda
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1235,Sweden,Balanced,Finland
Gibraltar,Malta,Malta,4 runs,Albergaria,"Aug 21, 2021",T20I # 1236,Malta,Balanced,Portugal
Finland,Sweden,Sweden,3 wickets,Kerava,"Aug 22, 2021",T20I # 1237,Finland,Balanced,Finland
Portugal,Gibraltar,Portugal,110 runs,Albergaria,"Aug 22, 2021",T20I # 1238,Portugal,Balanced,Portugal
Finland,Sweden,Sweden,6 wickets,Kerava,"Aug 22, 2021",T20I # 1239,Finland,Balanced,Finland
Portugal,Malta,Portugal,3 wickets,Albergaria,"Aug 22, 2021",T20I # 1240,Malta,Balanced,Portugal
Ireland,Zimbabwe,Zimbabwe,3 runs,Dublin,"Aug 27, 2021",T20I # 1241,Zimbabwe,Balanced,Ireland
Ireland,Zimbabwe,Ireland,7 wickets,Dublin,"Aug 29, 2021",T20I # 1242,Zimbabwe,Balanced,Ireland
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Sep 1, 2021",T20I # 1243,New Zealand,Batting,Bangladesh
Ireland,Zimbabwe,Ireland,40 runs,Bready,"Sep 1, 2021",T20I # 1244,Ireland,Balanced,Northern Ireland (United Kingdom)
Bulgaria,Luxembourg,Luxembourg,62 runs,Ilfov County,"Sep 2, 2021",T20I # 1245,Luxembourg,Balanced,Romania
Czech Rep.,Hungary,Hungary,5 runs,Ilfov County,"Sep 2, 2021",T20I # 1246,Hungary,Balanced,Romania
Luxembourg,Malta,Luxembourg,4 wickets,Ilfov County,"Sep 2, 2021",T20I # 1247,Malta,Balanced,Romania
Ireland,Zimbabwe,Ireland,64 runs,Bready,"Sep 2, 2021",T20I # 1248,Ireland,Balanced,Northern Ireland (United Kingdom)
Romania,Czech Rep.,Romania,35 runs,Ilfov County,"Sep 3, 2021",T20I # 1249,Romania,Balanced,Romania
Bulgaria,Malta,Malta,7 wickets,Ilfov County,"Sep 3, 2021",T20I # 1250,Bulgaria,Balanced,Romania
Bangladesh,New Zealand,Bangladesh,4 runs,Mirpur,"Sep 3, 2021",T20I # 1251,Bangladesh,Batting,Bangladesh
Romania,Hungary,Romania,8 runs,Ilfov County,"Sep 3, 2021",T20I # 1252,Romania,Balanced,Romania
Bulgaria,Czech Rep.,Czech Rep.,7 wickets,Ilfov County,"Sep 4, 2021",T20I # 1253,Bulgaria,Balanced,Romania
Hungary,Luxembourg,Luxembourg,2 runs,Ilfov County,"Sep 4, 2021",T20I # 1254,Luxembourg,Balanced,Romania
Romania,Malta,Romania,36 runs,Ilfov County,"Sep 4, 2021",T20I # 1255,Romania,Balanced,Romania
Ireland,Zimbabwe,Zimbabwe,5 runs,Bready,"Sep 4, 2021",T20I # 1256,Zimbabwe,Balanced,Northern Ireland (United Kingdom)
Romania,Luxembourg,Romania,33 runs,Ilfov County,"Sep 5, 2021",T20I # 1257,Romania,Balanced,Romania
Bangladesh,New Zealand,New Zealand,52 runs,Mirpur,"Sep 5, 2021",T20I # 1258,New Zealand,Batting,Bangladesh
Hungary,Malta,Hungary,8 wickets,Ilfov County,"Sep 5, 2021",T20I # 1259,Malta,Balanced,Romania
Bangladesh,New Zealand,Bangladesh,6 wickets,Mirpur,"Sep 8, 2021",T20I # 1260,New Zealand,Batting,Bangladesh
Uganda,Kenya,0,-,Entebbe,"Sep 10, 2021",T20I # 1261,Uganda,Bowling,Uganda
Spain,Germany,Germany,7 wickets,Almeria,"Sep 10, 2021",T20I # 1262,Spain,Balanced,Spain
Bangladesh,New Zealand,New Zealand,27 runs,Mirpur,"Sep 10, 2021",T20I # 1263,New Zealand,Batting,Bangladesh
Uganda,Kenya,Kenya,22 runs,Entebbe,"Sep 10, 2021",T20I # 1264,Kenya,Bowling,Uganda
Sri Lanka,South Africa,South Africa,28 runs,Colombo (RPS),"Sep 10, 2021",T20I # 1265,South Africa,Batting,Sri Lanka
Kenya,Nigeria,Kenya,8 wickets,Entebbe,"Sep 11, 2021",T20I # 1266,Nigeria,Bowling,Uganda
Spain,Germany,Spain,5 wickets,Almeria,"Sep 11, 2021",T20I # 1267,Germany,Balanced,Spain
Uganda,Nigeria,Uganda,56 runs,Entebbe,"Sep 11, 2021",T20I # 1268,Uganda,Bowling,Uganda
Spain,Germany,Spain,1 wickets,Almeria,"Sep 11, 2021",T20I # 1269,Germany,Balanced,Spain
Sri Lanka,South Africa,South Africa,9 wickets,Colombo (RPS),"Sep 12, 2021",T20I # 1270,Sri Lanka,Batting,Sri Lanka
Uganda,Nigeria,Uganda,8 wickets,Entebbe,"Sep 13, 2021",T20I # 1271,Nigeria,Bowling,Uganda
Kenya,Nigeria,Kenya,61 runs,Entebbe,"Sep 13, 2021",T20I # 1272,Kenya,Bowling,Uganda
Sri Lanka,South Africa,South Africa,10 wickets,Colombo (RPS),"Sep 14, 2021",T20I # 1273,Sri Lanka,Batting,Sri Lanka
Uganda,Kenya,Uganda,4 wickets,Entebbe,"Sep 15, 2021",T20I # 1274,Kenya,Bowling,Uganda
Uganda,Nigeria,Uganda,55 runs,Entebbe,"Sep 15, 2021",T20I # 1275,Uganda,Bowling,Uganda
Scotland,Zimbabwe,Scotland,7 runs,Edinburgh,"Sep 15, 2021",T20I # 1276,Scotland,Bowling,Scotland (United Kingdom)
Kenya,Nigeria,Nigeria,4 runs,Entebbe,"Sep 16, 2021",T20I # 1277,Nigeria,Bowling,Uganda
Uganda,Kenya,Uganda,6 runs,Entebbe,"Sep 17, 2021",T20I # 1278,Uganda,Bowling,Uganda
Scotland,Zimbabwe,Zimbabwe,10 runs,Edinburgh,"Sep 17, 2021",T20I # 1279,Zimbabwe,Bowling,Scotland (United Kingdom)
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Sep 19, 2021",T20I # 1280,Scotland,Bowling,Scotland (United Kingdom)
U.A.E.,Namibia,Namibia,17 runs,ICCA Dubai,"Oct 5, 2021",T20I # 1281,Namibia,Balanced,United Arab Emirates (UAE)
Cyprus,Estonia,Cyprus,4 wickets,Episkopi,"Oct 5, 2021",T20I # 1282,Estonia,Balanced,Cyprus
Cyprus,Estonia,Cyprus,8 wickets,Episkopi,"Oct 5, 2021",T20I # 1283,Estonia,Balanced,Cyprus
Cyprus,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 6, 2021",T20I # 1284,Cyprus,Balanced,Cyprus
Estonia,Isle of Man,Isle of Man,6 wickets,Episkopi,"Oct 6, 2021",T20I # 1285,Estonia,Balanced,Cyprus
U.A.E.,Ireland,Ireland,7 wickets,ICCA Dubai,"Oct 7, 2021",T20I # 1286,U.A.E.,Balanced,United Arab Emirates (UAE)
Cyprus,Isle of Man,Isle of Man,3 wickets,Episkopi,"Oct 7, 2021",T20I # 1287,Cyprus,Balanced,Cyprus
Cyprus,Estonia,Cyprus,79 runs,Episkopi,"Oct 7, 2021",T20I # 1288,Cyprus,Balanced,Cyprus
U.A.E.,Ireland,U.A.E.,54 runs,ICCA Dubai,"Oct 8, 2021",T20I # 1289,U.A.E.,Balanced,United Arab Emirates (UAE)
Cyprus,Estonia,Cyprus,39 runs,Episkopi,"Oct 8, 2021",T20I # 1290,Cyprus,Balanced,Cyprus
P.N.G.,Scotland,Scotland,8 wickets,ICCA Dubai,"Oct 8, 2021",T20I # 1291,P.N.G.,Balanced,United Arab Emirates (UAE)
Estonia,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 8, 2021",T20I # 1292,Estonia,Balanced,Cyprus
Namibia,Scotland,Namibia,5 wickets,ICCA Dubai,"Oct 9, 2021",T20I # 1293,Scotland,Balanced,United Arab Emirates (UAE)
U.A.E.,Ireland,U.A.E.,7 wickets,ICCA Dubai,"Oct 10, 2021",T20I # 1294,Ireland,Balanced,United Arab Emirates (UAE)
Namibia,P.N.G.,Namibia,14 runs,ICCA Dubai,"Oct 10, 2021",T20I # 1295,Namibia,Balanced,United Arab Emirates (UAE)
Germany,Jersey,Jersey,4 runs,Almeria,"Oct 15, 2021",T20I # 1296,Jersey,Balanced,Spain
Denmark,Italy,Italy,6 wickets,Almeria,"Oct 15, 2021",T20I # 1297,Denmark,Balanced,Spain
Rwanda,Ghana,Ghana,5 wickets,Rwanda,"Oct 16, 2021",T20I # 1298,Rwanda,Balanced,Rwanda
Lesotho,Swaziland,Swaziland,54 runs,Kigali,"Oct 16, 2021",T20I # 1299,Swaziland,Batting,Rwanda
Denmark,Germany,Germany,6 wickets,Almeria,"Oct 16, 2021",T20I # 1300,Denmark,Balanced,Spain
Ghana,Seychelles,Ghana,9 wickets,Rwanda,"Oct 16, 2021",T20I # 1301,Seychelles,Balanced,Rwanda
Malawi,Uganda,Uganda,10 wickets,Kigali,"Oct 16, 2021",T20I # 1302,Malawi,Batting,Rwanda
Italy,Jersey,Jersey,41 runs,Almeria,"Oct 16, 2021",T20I # 1303,Jersey,Balanced,Spain
Lesotho,Seychelles,Seychelles,6 wickets,Rwanda,"Oct 17, 2021",T20I # 1304,Lesotho,Balanced,Rwanda
Malawi,Swaziland,Malawi,8 wickets,Kigali,"Oct 17, 2021",T20I # 1305,Swaziland,Batting,Rwanda
Denmark,Jersey,Jersey,5 runs,Almeria,"Oct 17, 2021",T20I # 1306,Jersey,Balanced,Spain
Oman,P.N.G.,Oman,10 wickets,Al Amerat,"Oct 17, 2021",T20I # 1307,P.N.G.,Balanced,Oman
Ghana,Lesotho,Ghana,116 runs,Rwanda,"Oct 17, 2021",T20I # 1308,Ghana,Balanced,Rwanda
Rwanda,Uganda,Uganda,106 runs,Kigali,"Oct 17, 2021",T20I # 1309,Uganda,Batting,Rwanda
Germany,Italy,Germany,4 wickets,Almeria,"Oct 17, 2021",T20I # 1310,Italy,Balanced,Spain
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,"Oct 17, 2021",T20I # 1311,Scotland,Balanced,Oman
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1312,Netherlands,Bowling,United Arab Emirates (UAE)
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1313,Namibia,Bowling,United Arab Emirates (UAE)
Ghana,Malawi,Ghana,7 wickets,Rwanda,"Oct 19, 2021",T20I # 1314,Malawi,Balanced,Rwanda
Lesotho,Uganda,Uganda,10 wickets,Kigali,"Oct 19, 2021",T20I # 1315,Lesotho,Batting,Rwanda
Denmark,Italy,Italy,9 runs,Almeria,"Oct 19, 2021",T20I # 1316,Italy,Balanced,Spain
Nigeria,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 19, 2021",T20I # 1317,Nigeria,Balanced,Nigeria
P.N.G.,Scotland,Scotland,17 runs,Al Amerat,"Oct 19, 2021",T20I # 1318,Scotland,Balanced,Oman
Rwanda,Seychelles,Rwanda,78 runs,Rwanda,"Oct 19, 2021",T20I # 1319,Rwanda,Balanced,Rwanda
Swaziland,Uganda,Uganda,6 wickets,Kigali,"Oct 19, 2021",T20I # 1320,Swaziland,Batting,Rwanda
Germany,Jersey,Jersey,4 wickets,Almeria,"Oct 19, 2021",T20I # 1321,Germany,Balanced,Spain
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,"Oct 19, 2021",T20I # 1322,Bangladesh,Balanced,Oman
Malawi,Seychelles,Malawi,21 runs,Rwanda,"Oct 20, 2021",T20I # 1323,Malawi,Balanced,Rwanda
Ghana,Swaziland,Ghana,7 wickets,Kigali,"Oct 20, 2021",T20I # 1324,Swaziland,Batting,Rwanda
Italy,Jersey,Jersey,8 wickets,Almeria,"Oct 20, 2021",T20I # 1325,Italy,Balanced,Spain
Nigeria,Sierra Leone,Nigeria,6 runs,Lagos,"Oct 20, 2021",T20I # 1326,Nigeria,Balanced,Nigeria
Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,"Oct 20, 2021",T20I # 1327,Netherlands,Bowling,United Arab Emirates (UAE)
Seychelles,Swaziland,Seychelles,7 wickets,Rwanda,"Oct 20, 2021",T20I # 1328,Swaziland,Balanced,Rwanda
Rwanda,Lesotho,Rwanda,22 runs,Kigali,"Oct 20-21, 2021",T20I # 1329,Rwanda,Batting,Rwanda
Denmark,Germany,Germany,12 runs,Almeria,"Oct 20, 2021",T20I # 1330,Germany,Balanced,Spain
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,"Oct 20, 2021",T20I # 1331,Sri Lanka,Bowling,United Arab Emirates (UAE)
Ghana,Uganda,Uganda,79 runs,Rwanda,"Oct 21, 2021",T20I # 1332,Uganda,Balanced,Rwanda
Germany,Italy,Italy,1 runs,Almeria,"Oct 21, 2021",T20I # 1333,Italy,Balanced,Spain
Bangladesh,P.N.G.,Bangladesh,84 runs,Al Amerat,"Oct 21, 2021",T20I # 1334,Bangladesh,Balanced,Oman
Malta,Gibraltar,Malta,61 runs,Marsa,"Oct 21, 2021",T20I # 1335,Malta,Balanced,Malta
Nigeria,Sierra Leone,Nigeria,69 runs,Lagos,"Oct 21, 2021",T20I # 1336,Nigeria,Balanced,Nigeria
Denmark,Jersey,Jersey,4 wickets,Almeria,"Oct 21, 2021",T20I # 1337,Denmark,Balanced,Spain
Oman,Scotland,Scotland,8 wickets,Al Amerat,"Oct 21, 2021",T20I # 1338,Oman,Balanced,Oman
Rwanda,Swaziland,Rwanda,7 wickets,Rwanda,"Oct 22, 2021",T20I # 1339,Swaziland,Balanced,Rwanda
Lesotho,Malawi,Malawi,22 runs,Kigali,"Oct 22, 2021",T20I # 1340,Malawi,Batting,Rwanda
Gibraltar,Switzerland,Switzerland,9 wickets,Marsa,"Oct 22, 2021",T20I # 1341,Gibraltar,Balanced,Malta
Ireland,Namibia,Namibia,8 wickets,Sharjah,"Oct 22, 2021",T20I # 1342,Ireland,Batting,United Arab Emirates (UAE)
Rwanda,Malawi,Malawi,24 runs,Rwanda,"Oct 22, 2021",T20I # 1343,Malawi,Balanced,Rwanda
Seychelles,Uganda,Uganda,95 runs,Kigali,"Oct 22, 2021",T20I # 1344,Uganda,Batting,Rwanda
Bulgaria,Switzerland,Switzerland,8 wickets,Marsa,"Oct 22, 2021",T20I # 1345,Bulgaria,Balanced,Malta
Netherlands,Sri Lanka,Sri Lanka,8 wickets,Sharjah,"Oct 22, 2021",T20I # 1346,Netherlands,Batting,United Arab Emirates (UAE)
Bulgaria,Gibraltar,Gibraltar,37 runs,Marsa,"Oct 23, 2021",T20I # 1347,Gibraltar,Balanced,Malta
Qatar,Bahrain,Bahrain,8 wickets,Doha,"Oct 23, 2021",T20I # 1348,Qatar,Balanced,Qatar
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,"Oct 23, 2021",T20I # 1349,Sierra Leone,Balanced,Nigeria
Malta,Switzerland,Switzerland,8 runs,Marsa,"Oct 23, 2021",T20I # 1350,Switzerland,Balanced,Malta
Australia,South Africa,Australia,5 wickets,Abu Dhabi,"Oct 23, 2021",T20I # 1351,South Africa,Bowling,United Arab Emirates (UAE)
Maldives,Saudi Arabia,Saudi Arabia,7 wickets,Doha,"Oct 23, 2021",T20I # 1352,Maldives,Balanced,Qatar
Malta,Bulgaria,Malta,6 wickets,Marsa,"Oct 23, 2021",T20I # 1353,Bulgaria,Balanced,Malta
England,West Indies,England,6 wickets,Dubai (DSC),"Oct 23, 2021",T20I # 1354,West Indies,Balanced,United Arab Emirates (UAE)
Bahrain,Kuwait,Kuwait,6 wickets,Doha,"Oct 24, 2021",T20I # 1355,Bahrain,Balanced,Qatar
Bulgaria,Gibraltar,Bulgaria,6 wickets,Marsa,"Oct 24, 2021",T20I # 1356,Gibraltar,Balanced,Malta
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Oct 24, 2021",T20I # 1357,Bangladesh,Batting,United Arab Emirates (UAE)
Qatar,Maldives,Qatar,98 runs,Doha,"Oct 24, 2021",T20I # 1358,Qatar,Balanced,Qatar
Malta,Switzerland,Malta,6 runs,Marsa,"Oct 24, 2021",T20I # 1359,Malta,Balanced,Malta
Nigeria,Sierra Leone,Nigeria,19 runs,Lagos,"Oct 24, 2021",T20I # 1360,Nigeria,Balanced,Nigeria
India,Pakistan,Pakistan,10 wickets,Dubai (DSC),"Oct 24, 2021",T20I # 1361,India,Balanced,United Arab Emirates (UAE)
Kuwait,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Oct 25, 2021",T20I # 1362,Kuwait,Balanced,Qatar
Malta,Gibraltar,0,-,Marsa,"Oct 25, 2021",T20I # 1363,Malta,Balanced,Malta
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,"Oct 25, 2021",T20I # 1364,Afghanistan,Batting,United Arab Emirates (UAE)
Nigeria,Sierra Leone,Nigeria,36 runs,Lagos,"Oct 26, 2021",T20I # 1365,Nigeria,Balanced,Nigeria
South Africa,West Indies,South Africa,8 wickets,Dubai (DSC),"Oct 26, 2021",T20I # 1366,West Indies,Balanced,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,"Oct 26, 2021",T20I # 1367,New Zealand,Batting,United Arab Emirates (UAE)
Bahrain,Maldives,Bahrain,7 wickets,Doha,"Oct 27, 2021",T20I # 1368,Maldives,Balanced,Qatar
Bangladesh,England,England,8 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1369,Bangladesh,Bowling,United Arab Emirates (UAE)
Qatar,Saudi Arabia,Qatar,5 wickets,Doha,"Oct 27, 2021",T20I # 1370,Saudi Arabia,Balanced,Qatar
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1371,Scotland,Bowling,United Arab Emirates (UAE)
Kuwait,Maldives,Kuwait,5 wickets,Doha,"Oct 28, 2021",T20I # 1372,Maldives,Balanced,Qatar
Australia,Sri Lanka,Australia,7 wickets,Dubai (DSC),"Oct 28, 2021",T20I # 1374,Sri Lanka,Balanced,United Arab Emirates (UAE)
Bahrain,Saudi Arabia,Bahrain,18 runs,Doha,"Oct 28, 2021",T20I # 1373,Bahrain,Balanced,Qatar
Bangladesh,West Indies,West Indies,3 runs,Sharjah,"Oct 29, 2021",T20I # 1375,West Indies,Batting,United Arab Emirates (UAE)
Qatar,Kuwait,Qatar,2 wickets,Doha,"Oct 29, 2021",T20I # 1376,Kuwait,Balanced,Qatar
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DSC),"Oct 29, 2021",T20I # 1377,Afghanistan,Balanced,United Arab Emirates (UAE)
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,"Oct 30, 2021",T20I # 1378,Sri Lanka,Batting,United Arab Emirates (UAE)
Australia,England,England,8 wickets,Dubai (DSC),"Oct 30, 2021",T20I # 1379,Australia,Balanced,United Arab Emirates (UAE)
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,"Oct 31, 2021",T20I # 1380,Afghanistan,Bowling,United Arab Emirates (UAE)
India,New Zealand,New Zealand,8 wickets,Dubai (DSC),"Oct 31, 2021",T20I # 1381,India,Balanced,United Arab Emirates (UAE)
England,Sri Lanka,England,26 runs,Sharjah,"Nov 1, 2021",T20I # 1382,England,Batting,United Arab Emirates (UAE)
Botswana,Sierra Leone,Botswana,72 runs,Rwanda,"Nov 2, 2021",T20I # 1383,Botswana,Balanced,Rwanda
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,"Nov 2, 2021",T20I # 1384,Bangladesh,Bowling,United Arab Emirates (UAE)
Mozambique,Tanzania,Tanzania,87 runs,Rwanda,"Nov 2, 2021",T20I # 1385,Tanzania,Balanced,Rwanda
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,"Nov 2, 2021",T20I # 1386,Pakistan,Bowling,United Arab Emirates (UAE)
Cameroon,Mozambique,Mozambique,171 runs,Rwanda,"Nov 3, 2021",T20I # 1387,Mozambique,Balanced,Rwanda
New Zealand,Scotland,New Zealand,16 runs,Dubai (DSC),"Nov 3, 2021",T20I # 1388,New Zealand,Balanced,United Arab Emirates (UAE)
Sierra Leone,Tanzania,Tanzania,8 wickets,Rwanda,"Nov 3, 2021",T20I # 1389,Sierra Leone,Balanced,Rwanda
Afghanistan,India,India,66 runs,Abu Dhabi,"Nov 3, 2021",T20I # 1390,India,Bowling,United Arab Emirates (UAE)
Australia,Bangladesh,Australia,8 wickets,Dubai (DSC),"Nov 4, 2021",T20I # 1391,Bangladesh,Balanced,United Arab Emirates (UAE)
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,"Nov 4, 2021",T20I # 1392,Sri Lanka,Bowling,United Arab Emirates (UAE)
Botswana,Cameroon,Botswana,9 wickets,Rwanda,"Nov 5, 2021",T20I # 1393,Cameroon,Balanced,Rwanda
Namibia,New Zealand,New Zealand,52 runs,Sharjah,"Nov 5, 2021",T20I # 1394,New Zealand,Batting,United Arab Emirates (UAE)
Mozambique,Sierra Leone,Sierra Leone,5 wickets,Rwanda,"Nov 5, 2021",T20I # 1395,Mozambique,Balanced,Rwanda
India,Scotland,India,8 wickets,Dubai (DSC),"Nov 5, 2021",T20I # 1396,Scotland,Balanced,United Arab Emirates (UAE)
Botswana,Mozambique,Botswana,52 runs,Rwanda,"Nov 6, 2021",T20I # 1397,Botswana,Balanced,Rwanda
Australia,West Indies,Australia,8 wickets,Abu Dhabi,"Nov 6, 2021",T20I # 1398,West Indies,Bowling,United Arab Emirates (UAE)
Cameroon,Tanzania,Tanzania,178 runs,Rwanda,"Nov 6, 2021",T20I # 1399,Tanzania,Balanced,Rwanda
England,South Africa,South Africa,10 runs,Sharjah,"Nov 6, 2021",T20I # 1400,South Africa,Batting,United Arab Emirates (UAE)
Cameroon,Sierra Leone,Sierra Leone,6 wickets,Rwanda,"Nov 7, 2021",T20I # 1401,Cameroon,Balanced,Rwanda
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,"Nov 7, 2021",T20I # 1402,Afghanistan,Bowling,United Arab Emirates (UAE)
Botswana,Tanzania,Tanzania,3 runs,Rwanda,"Nov 7, 2021",T20I # 1403,Tanzania,Balanced,Rwanda
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 7, 2021",T20I # 1404,Belize,Balanced,Antigua and Barbuda
Bahamas,Canada,Canada,122 runs,North Sound,"Nov 7, 2021",T20I # 1405,Canada,Batting,Antigua and Barbuda
Pakistan,Scotland,Pakistan,72 runs,Sharjah,"Nov 7, 2021",T20I # 1406,Pakistan,Batting,United Arab Emirates (UAE)
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,"Nov 7, 2021",T20I # 1407,Panama,Balanced,Antigua and Barbuda
Belize,Canada,Canada,145 runs,Coolidge,"Nov 8, 2021",T20I # 1408,Canada,Balanced,Antigua and Barbuda
Argentina,Bahamas,Bahamas,12 runs,North Sound,"Nov 8, 2021",T20I # 1409,Bahamas,Batting,Antigua and Barbuda
India,Namibia,India,9 wickets,Dubai (DSC),"Nov 8, 2021",T20I # 1410,Namibia,Balanced,United Arab Emirates (UAE)
Belize,Panama,Belize,12 runs,Coolidge,"Nov 8, 2021",T20I # 1411,Belize,Balanced,Antigua and Barbuda
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,"Nov 8, 2021",T20I # 1412,U.S.A.,Batting,Antigua and Barbuda
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,"Nov 10, 2021",T20I # 1413,Bermuda,Balanced,Antigua and Barbuda
Argentina,Belize,Argentina,59 runs,North Sound,"Nov 10, 2021",T20I # 1414,Argentina,Batting,Antigua and Barbuda
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,"Nov 10, 2021",T20I # 1415,England,Bowling,United Arab Emirates (UAE)
Canada,U.S.A.,0,-,Coolidge,"Nov 10, 2021",T20I # 1416,Canada,Balanced,Antigua and Barbuda
Argentina,Panama,Argentina,45 runs,North Sound,"Nov 10, 2021",T20I # 1417,Argentina,Batting,Antigua and Barbuda
Bermuda,Canada,Canada,46 runs,Coolidge,"Nov 11, 2021",T20I # 1418,Canada,Balanced,Antigua and Barbuda
Bahamas,Belize,Bahamas,11 runs,North Sound,"Nov 11, 2021",T20I # 1419,Bahamas,Batting,Antigua and Barbuda
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Nov 11, 2021",T20I # 1420,Pakistan,Balanced,United Arab Emirates (UAE)
Bermuda,Panama,Bermuda,86 runs,Coolidge,"Nov 11, 2021",T20I # 1421,Bermuda,Balanced,Antigua and Barbuda
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,"Nov 11, 2021",T20I # 1422,Argentina,Batting,Antigua and Barbuda
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 13, 2021",T20I # 1423,Bahamas,Balanced,Antigua and Barbuda
Belize,Bermuda,Bermuda,7 wickets,North Sound,"Nov 13, 2021",T20I # 1424,Belize,Batting,Antigua and Barbuda
Bahamas,Panama,Panama,26 runs,Coolidge,"Nov 13, 2021",T20I # 1425,Panama,Balanced,Antigua and Barbuda
Argentina,Canada,Canada,9 wickets,North Sound,"Nov 13, 2021",T20I # 1426,Argentina,Batting,Antigua and Barbuda
Canada,Panama,Canada,208 runs,Coolidge,"Nov 14, 2021",T20I # 1427,Canada,Balanced,Antigua and Barbuda
Australia,New Zealand,Australia,8 wickets,Dubai (DSC),"Nov 14, 2021",T20I # 1428,New Zealand,Balanced,United Arab Emirates (UAE)
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,"Nov 14, 2021",T20I # 1429,Argentina,Balanced,Antigua and Barbuda
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,"Nov 17, 2021",T20I # 1430,Nigeria,Balanced,Rwanda
Kenya,Uganda,Kenya,1 runs,Kigali,"Nov 17, 2021",T20I # 1431,Kenya,Batting,Rwanda
Nigeria,Uganda,Uganda,12 runs,Rwanda,"Nov 17, 2021",T20I # 1432,Uganda,Balanced,Rwanda
Kenya,Tanzania,Tanzania,49 runs,Kigali,"Nov 17, 2021",T20I # 1433,Tanzania,Batting,Rwanda
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434,New Zealand,Balanced,India
Tanzania,Uganda,Uganda,8 wickets,Rwanda,"Nov 18, 2021",T20I # 1435,Tanzania,Balanced,Rwanda
Kenya,Nigeria,Kenya,8 wickets,Kigali,"Nov 18, 2021",T20I # 1436,Nigeria,Batting,Rwanda
